date,route,hour,weekday,is_weekend,weather,passengers
2025-01-01,R01,6,2,0,Cloudy,85
2025-01-01,R01,7,2,0,Cloudy,200
2025-01-01,R01,8,2,0,Clear,237
2025-01-01,R01,9,2,0,Cloudy,183
2025-01-01,R01,10,2,0,Clear,94
2025-01-01,R01,11,2,0,Clear,69
2025-01-01,R01,12,2,0,Cloudy,60
2025-01-01,R01,13,2,0,Clear,34
2025-01-01,R01,14,2,0,Clear,36
2025-01-01,R01,15,2,0,Cloudy,66
2025-01-01,R01,16,2,0,Cloudy,117
2025-01-01,R01,17,2,0,Rain,257
2025-01-01,R01,18,2,0,Cloudy,268
2025-01-01,R01,19,2,0,Clear,241
2025-01-01,R01,20,2,0,Clear,141
2025-01-01,R01,21,2,0,Cloudy,61
2025-01-01,R01,22,2,0,Clear,38
2025-01-01,R02,6,2,0,Clear,141
2025-01-01,R02,7,2,0,Clear,223
2025-01-01,R02,8,2,0,Clear,310
2025-01-01,R02,9,2,0,Clear,243
2025-01-01,R02,10,2,0,Cloudy,121
2025-01-01,R02,11,2,0,Clear,72
2025-01-01,R02,12,2,0,Cloudy,55
2025-01-01,R02,13,2,0,Clear,55
2025-01-01,R02,14,2,0,Cloudy,64
2025-01-01,R02,15,2,0,Cloudy,74
2025-01-01,R02,16,2,0,Clear,151
2025-01-01,R02,17,2,0,Clear,299
2025-01-01,R02,18,2,0,Cloudy,335
2025-01-01,R02,19,2,0,Clear,274
2025-01-01,R02,20,2,0,Cloudy,158
2025-01-01,R02,21,2,0,Clear,95
2025-01-01,R02,22,2,0,Clear,52
2025-01-01,R03,6,2,0,Clear,84
2025-01-01,R03,7,2,0,Cloudy,138
2025-01-01,R03,8,2,0,Clear,216
2025-01-01,R03,9,2,0,Clear,173
2025-01-01,R03,10,2,0,Clear,89
2025-01-01,R03,11,2,0,Cloudy,40
2025-01-01,R03,12,2,0,Cloudy,27
2025-01-01,R03,13,2,0,Clear,32
2025-01-01,R03,14,2,0,Cloudy,45
2025-01-01,R03,15,2,0,Clear,58
2025-01-01,R03,16,2,0,Clear,117
2025-01-01,R03,17,2,0,Clear,192
2025-01-01,R03,18,2,0,Clear,237
2025-01-01,R03,19,2,0,Clear,173
2025-01-01,R03,20,2,0,Clear,97
2025-01-01,R03,21,2,0,Rain,51
2025-01-01,R03,22,2,0,Clear,59
2025-01-01,R04,6,2,0,Cloudy,145
2025-01-01,R04,7,2,0,Clear,266
2025-01-01,R04,8,2,0,Clear,340
2025-01-01,R04,9,2,0,Clear,245
2025-01-01,R04,10,2,0,Clear,147
2025-01-01,R04,11,2,0,Clear,58
2025-01-01,R04,12,2,0,Cloudy,52
2025-01-01,R04,13,2,0,Clear,62
2025-01-01,R04,14,2,0,Clear,63
2025-01-01,R04,15,2,0,Clear,98
2025-01-01,R04,16,2,0,Clear,201
2025-01-01,R04,17,2,0,Clear,323
2025-01-01,R04,18,2,0,Clear,375
2025-01-01,R04,19,2,0,Clear,305
2025-01-01,R04,20,2,0,Clear,163
2025-01-01,R04,21,2,0,Clear,92
2025-01-01,R04,22,2,0,Rain,59
2025-01-01,R05,6,2,0,Cloudy,106
2025-01-01,R05,7,2,0,Clear,230
2025-01-01,R05,8,2,0,Rain,253
2025-01-01,R05,9,2,0,Clear,193
2025-01-01,R05,10,2,0,Clear,95
2025-01-01,R05,11,2,0,Clear,53
2025-01-01,R05,12,2,0,Cloudy,44
2025-01-01,R05,13,2,0,Clear,29
2025-01-01,R05,14,2,0,Clear,40
2025-01-01,R05,15,2,0,Clear,71
2025-01-01,R05,16,2,0,Cloudy,122
2025-01-01,R05,17,2,0,Clear,217
2025-01-01,R05,18,2,0,Clear,262
2025-01-01,R05,19,2,0,Clear,254
2025-01-01,R05,20,2,0,Cloudy,132
2025-01-01,R05,21,2,0,Clear,80
2025-01-01,R05,22,2,0,Clear,45
2025-01-01,R06,6,2,0,Clear,123
2025-01-01,R06,7,2,0,Clear,243
2025-01-01,R06,8,2,0,Clear,301
2025-01-01,R06,9,2,0,Rain,296
2025-01-01,R06,10,2,0,Rain,144
2025-01-01,R06,11,2,0,Clear,91
2025-01-01,R06,12,2,0,Cloudy,49
2025-01-01,R06,13,2,0,Clear,63
2025-01-01,R06,14,2,0,Cloudy,61
2025-01-01,R06,15,2,0,Rain,78
2025-01-01,R06,16,2,0,Clear,193
2025-01-01,R06,17,2,0,Clear,289
2025-01-01,R06,18,2,0,Clear,347
2025-01-01,R06,19,2,0,Clear,304
2025-01-01,R06,20,2,0,Rain,186
2025-01-01,R06,21,2,0,Clear,93
2025-01-01,R06,22,2,0,Clear,63
2025-01-01,R07,6,2,0,Cloudy,43
